영화명,감독,배급사,y,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
헤이츠,마크 톤데라이,(주)나이너스엔터테인먼트,2012,2012-12-06,미국,75,94348000,13747,35434000,4791,스릴러,15세이상관람가,일반영화
아기 거북 토토의 바다 대모험,닉 스트링거,예지림엔터테인먼트,2012,2012-10-18,영국,90,61158000,9346,15799000,2302,다큐멘터리,전체관람가,일반영화
로우리스: 나쁜 영웅들,존 힐코트,씨너스엔터테인먼트(주),2012,2012-10-18,미국,275,452103666,63108,203502662,27793,액션,청소년관람불가,일반영화
프로젝트 님,제임스 마쉬,(주)영화사 조제,2012,2012-08-09,영국,4,4161500,542,3256500,394,다큐멘터리,12세이상관람가,독립/예술영화
반창꼬,정기훈,(주)넥스트엔터테인먼트월드(NEW),2012,2012-12-19,한국,466,17883988787,2471721,4304602748,568409,멜로/로맨스,15세이상관람가,일반영화
굿닥터,랜스 데일리,(주)마인스 엔터테인먼트,2012,2012-12-06,미국,18,5395500,747,1784000,245,스릴러,청소년관람불가,일반영화
이웃사람,김휘,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-08-22,한국,600,18087442369,2434099,5411949754,697152,스릴러,청소년관람불가,일반영화
더블,마이클 브랜트,에이원엔터테인먼트,2012,2012-11-29,미국,33,28004500,4068,9145000,1346,범죄,15세이상관람가,일반영화
리틀 제이콥,유형,데이브인터랙티브,2012,2012-11-08,한국,9,11336000,2581,7510000,1710,애니메이션,전체관람가,독립/예술영화
가디언즈,피터 램지,(주)씨제이이엔엠,2012,2012-11-29,미국,470,8212243000,1075584,2372102000,283476,애니메이션,전체관람가,일반영화
007 스카이폴,샘 멘데스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012,2012-10-26,미국,748,17487213000,2376145,6160910500,793030,액션,15세이상관람가,일반영화
회사원,임상윤,(주)쇼박스,2012,2012-10-11,한국,549,8321175000,1110523,2544330000,323549,액션,청소년관람불가,일반영화
한경직,천정훈,주식회사 마운틴픽쳐스,2012,2012-09-13,한국,7,107099500,18113,93814000,16005,다큐멘터리,전체관람가,독립/예술영화
테이큰 2,올리비에 메가턴,이십세기폭스코리아(주),2012,2012-09-27,프랑스,682,17581098553,2308596,5503312053,692896,액션,청소년관람불가,일반영화
업사이드 다운,후안 디에고 솔라나스,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-11-08,캐나다,309,1225993645,174879,498007145,67389,SF,12세이상관람가,일반영화
통통한 혁명,민두식,주식회사 마운틴픽쳐스,2012,2012-08-02,한국,8,3748000,557,2709000,400,멜로/로맨스,12세이상관람가,독립/예술영화
그레이브 인카운터,더 비셔우스 브라더스,(주)팝엔터테인먼트,2012,2012-08-01,캐나다,63,277970000,39266,89133500,11900,공포(호러),15세이상관람가,일반영화
인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,손석,골든타이드픽처스(주),2012,2012-10-18,한국,84,412379000,39577,150487000,13834,공연,전체관람가,일반영화
트랜짓,안토니오 니그렛,(주)팝엔터테인먼트,2012,2012-11-22,미국,6,4955500,711,3654500,531,액션,청소년관람불가,일반영화
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,유야마 쿠니히코,(주)씨제이이엔엠,2012,2012-12-19,일본,275,1357449750,348883,301172000,73999,애니메이션,전체관람가,일반영화
링컨: 뱀파이어 헌터,티무르 베크맘베토브,이십세기폭스코리아(주),2012,2012-08-30,미국,337,2750911500,344876,921542500,108920,액션,청소년관람불가,일반영화
반딧불 언덕에서,우다 고노스케,골든타이드픽처스(주),2012,2012-11-01,일본,14,9519500,1516,1069000,142,애니메이션,전체관람가,독립/예술영화
제이니 존스,데이빗 M. 로젠탈,프리비젼엔터테인먼트,2012,2012-08-23,미국,20,25580000,3794,15078500,2193,드라마,15세이상관람가,독립/예술영화
위대한 비행,진재운,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-10-18,한국,33,47993500,8321,13815000,2251,다큐멘터리,전체관람가,독립/예술영화
가문의 영광5 - 가문의 귀환,정용기,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-12-19,한국,447,8330342500,1160021,1681261500,224852,코미디,15세이상관람가,일반영화
아이언 스카이,티모 부오렌솔라,(주)팝파트너스,2012,2012-10-25,핀란드,48,60738500,8308,28969500,3896,SF,15세이상관람가,일반영화
옥보단2012 : 천하애정비법,호요휘,(주)영화사폴,2012,2012-12-13,홍콩,1,3227000,1511,541000,253,코미디,청소년관람불가,일반영화
마린,멜라니 로랑,프리비젼엔터테인먼트,2012,2012-12-06,프랑스,13,28061500,3788,19567000,2491,드라마,청소년관람불가,독립/예술영화
10일간의 원나잇 스탠드,다니엘 아르비드,(주)소나무픽쳐스,2012,2012-11-29,프랑스,1,3180000,1510,3180000,1510,멜로/로맨스,청소년관람불가,일반영화
신의 소녀들,크리스티안 문쥬,찬란,2012,2012-12-06,루마니아,14,46562000,6275,35765000,4506,드라마,15세이상관람가,독립/예술영화
음치 클리닉,김진영,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-11-29,한국,360,2248238000,338168,629586000,93656,멜로/로맨스,12세이상관람가,일반영화
본 레거시,토니 길로이,유니버설픽쳐스인터내셔널 코리아(유),2012,2012-09-06,미국,585,7412233000,1015711,2657138000,347976,액션,15세이상관람가,일반영화
나나나 : 여배우 민낯 프로젝트,"부지영,김꽃비,서영주,양은용",서울독립영화제,2012,2012-08-23,한국,7,3813400,524,2757400,359,다큐멘터리,12세이상관람가,독립/예술영화
드래곤 아이즈,존 하이암스,(주)소나무픽쳐스,2012,2012-12-20,미국,1,3786000,1628,3186000,1508,액션,청소년관람불가,일반영화
카르멘,안드리스 넬슨스,(주)케빈앤컴퍼니,2012,2012-11-10,독일,2,42541000,1624,39129000,1424,공연,전체관람가,독립/예술영화
익스펜더블 2,사이먼 웨스트,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-09-06,미국,393,3206144228,444045,794739189,105302,액션,15세이상관람가,일반영화
점쟁이들,신정원,(주)넥스트엔터테인먼트월드(NEW),2012,2012-10-03,한국,479,6345293500,900054,1468531000,198356,코미디,15세이상관람가,일반영화
주먹왕 랄프,리치 무어,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012,2012-12-19,미국,361,6589435500,918183,1831749500,239435,애니메이션,전체관람가,일반영화
청포도 사탕: 17년 전의 약속,김희정,주식회사 마운틴픽쳐스,2012,2012-09-06,한국,20,11294500,1600,6598500,912,드라마,15세이상관람가,독립/예술영화
바비,이상우,(주)미로비젼,2012,2012-10-25,한국,24,17341500,2355,12327500,1633,드라마,청소년관람불가,독립/예술영화
"그 시절, 우리가 좋아했던 소녀",구파도,"(주)이놀미디어,(주)드림팩트엔터테인먼트,(주)미로스페이스,씨너스엔터테인먼트(주),(주)미로비젼,(주)박수엔터테인먼트",2012,2012-08-22,대만,113,248335570,34995,155256070,21563,멜로/로맨스,15세이상관람가,독립/예술영화
매직 마이크,스티븐 소더버그,(주)나이너스엔터테인먼트,2012,2012-08-01,미국,68,191946500,25288,123492500,15823,코미디,청소년관람불가,독립/예술영화
지저스 크라이스트 슈퍼스타,로렌스 코너,유니버설픽쳐스인터내셔널 코리아(유),2012,2012-11-22,미국,23,62244000,4363,28830500,1988,뮤지컬,12세이상관람가,일반영화
26년,조근현,"(주)인벤트스톤,영화사청어람(주)",2012,2012-11-29,한국,604,21241327145,2963449,6121058611,817210,액션,15세이상관람가,일반영화
이탈리아 횡단밴드,로코 파팔레오,오드,2012,2012-09-20,이탈리아,9,42797300,5848,31626800,4141,코미디,15세이상관람가,독립/예술영화
미국의 바람과 불,김경만,(주)시네마달,2012,2012-07-26,한국,3,3107498,515,2532498,413,다큐멘터리,15세이상관람가,독립/예술영화
브레이킹 던 part2,빌 콘돈,(주)넥스트엔터테인먼트월드(NEW),2012,2012-11-15,미국,665,18909583065,2654817,5571602065,745970,드라마,15세이상관람가,일반영화
스텝업4 : 레볼루션,스콧 스피어,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-08-15,미국,281,7157894000,953871,2323462500,290400,멜로/로맨스,12세이상관람가,일반영화
백야,이송희일,(주)시네마달,2012,2012-11-15,한국,19,43774000,5908,36879000,4917,멜로/로맨스,청소년관람불가,독립/예술영화
늑대소년-확장판,조성희,(주)씨제이이엔엠,2012,2012-12-06,한국,278,2868302500,414083,767129500,105940,멜로/로맨스,15세이상관람가,일반영화
우리도 사랑일까,사라 폴리,(주)티캐스트,2012,2012-09-27,캐나다,21,530615800,66650,452172300,55517,멜로/로맨스,청소년관람불가,독립/예술영화
호빗: 뜻밖의 여정,피터 잭슨,워너브러더스 코리아(주),2012,2012-12-13,미국,1028,23436820716,2818993,8241919216,910976,어드벤처,12세이상관람가,일반영화
우디 앨런 : 우리가 몰랐던 이야기,로버트 B. 웨이드,(주)키노아이디엠씨,2012,2012-09-27,미국,17,29151500,4205,23781000,3382,다큐멘터리,15세이상관람가,독립/예술영화
극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,쿠스바 고조,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-07-25,일본,184,1071505500,165640,196301000,28865,애니메이션,전체관람가,일반영화
터치,민병훈,(주)팝엔터테인먼트,2012,2012-11-08,한국,95,100685000,17403,24109000,4053,드라마,청소년관람불가,독립/예술영화
웰컴 투 사우스,루카 미니에로,(주)나이너스엔터테인먼트,2012,2012-12-13,이탈리아,16,19349000,2524,13912000,1761,코미디,전체관람가,독립/예술영화
락 앤 러브,데이빗 맥킨지,판씨네마(주),2012,2012-08-30,영국,8,6592900,1099,4170900,694,코미디,15세이상관람가,독립/예술영화
내가 살인범이다,정병길,(주)쇼박스,2012,2012-11-08,한국,547,20338948000,2721903,6313599000,809580,액션,청소년관람불가,일반영화
돈 크라이 마미,김용한,(주)에스비에스콘텐츠허브,2012,2012-11-22,한국,444,6808882099,975462,1607844582,220683,스릴러,15세이상관람가,일반영화
니코: 산타비행단의 모험,"캐리 주스넌,요르겐 레르담",씨너스엔터테인먼트(주),2012,2012-12-25,핀란드,306,2786834000,407264,630429500,88120,애니메이션,전체관람가,일반영화
더 스토리: 세상에 숨겨진 사랑,"브라이언 클러그만,리 스턴탈",(주)에스비에스콘텐츠허브,2012,2012-12-06,미국,103,261313500,36068,164054500,22287,드라마,15세이상관람가,독립/예술영화
새미의 어드벤쳐 2,벤 스타센,(주)씨제이이엔엠,2012,2012-08-01,벨기에,486,10805555000,1452872,2214827000,279930,애니메이션,전체관람가,일반영화
아르고,벤 애플렉,워너브러더스 코리아(주),2012,2012-10-31,미국,238,999347500,140522,389160500,52203,스릴러,15세이상관람가,일반영화
미쓰 마마,백연아,찬란,2012,2012-10-18,한국,15,11040500,1504,9638500,1283,다큐멘터리,15세이상관람가,독립/예술영화
원 데이,론 쉐르픽,"(주)영화사 그램,(주)제이앤씨미디어그룹,(주)팝파트너스",2012,2012-12-13,미국,236,1492933500,202805,891577500,117983,드라마,15세이상관람가,독립/예술영화
간첩,우민호,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-09-20,한국,576,9316548500,1310895,2407402000,326457,드라마,15세이상관람가,일반영화
호타루의 빛,요시노 히로시,"골든타이드픽처스(주),(주)영화사 조제",2012,2012-09-06,일본,13,23127500,2989,18339500,2330,멜로/로맨스,12세이상관람가,독립/예술영화
강철대오:구국의 철가방,육상효,롯데쇼핑㈜롯데엔터테인먼트,2012,2012-10-25,한국,366,1614867156,233211,501037128,71509,코미디,15세이상관람가,일반영화
네모난원,김성훈,(주)팝엔터테인먼트,2012,2012-12-06,한국,16,44276000,6627,15744000,2407,드라마,15세이상관람가,독립/예술영화
아이스 에이지 4: 대륙 이동설,"스티브 마티노,마이크 트메이어",이십세기폭스코리아(주),2012,2012-07-25,미국,501,12291809704,1648070,3012620000,376094,애니메이션,전체관람가,일반영화
공모자들,김홍선,"씨너스엔터테인먼트(주),타임스토리그룹(주)",2012,2012-08-29,한국,496,12240964500,1646142,3347272500,427942,범죄,청소년관람불가,일반영화
케빈에 대하여,린 램지,(주)티캐스트,2012,2012-07-26,영국,17,352965000,44649,288660500,35616,드라마,청소년관람불가,독립/예술영화
아이다,그레이엄 빅,(주)케빈앤컴퍼니,2012,2012-12-22,독일,2,82736000,3028,78993500,2899,공연,전체관람가,독립/예술영화
비정한 도시 감독판,김문흠,(주)인벤트스톤,2012,2012-10-25,한국,172,161959057,22900,46966557,6411,미스터리,청소년관람불가,일반영화
인시디어스,제임스 완,(주)쇼박스,2012,2012-09-13,미국,178,357783500,50163,117051000,15566,공포(호러),15세이상관람가,일반영화
레드라이트,로드리고 코르테스,(주)씨제이이엔엠,2012,2012-08-23,스페인,197,355743500,49925,138448500,18514,미스터리,15세이상관람가,일반영화
볼케이노: 삶의 전환점에 선 남자,루나 루나슨,프리비젼엔터테인먼트,2012,2012-11-22,아이슬란드,10,19982500,3103,12271500,1900,드라마,15세이상관람가,독립/예술영화
더 트리,줄리 베르투첼리,골든타이드픽처스(주),2012,2012-09-13,프랑스,8,7470500,1263,2410000,316,드라마,12세이상관람가,독립/예술영화
프랑켄위니,팀 버튼,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012,2012-10-11,미국,226,365356000,43978,159120500,17259,애니메이션,12세이상관람가,일반영화
메튜 본의 백조의 호수 3D,매튜 본,(주) 인스터 글로벌,2012,2012-08-02,영국,15,135872000,7163,107548000,5661,공연,전체관람가,일반영화
